GCVS,STAR,CONST.,RA(2000),DEC,Type,V[mag],P[days],Spec
190759,V0759,Cen,14h10m41.3s,-47o46'8",EW,7.45,0.3939905,G0V
190762,V0762,Cen,14h31m30.8s,-63o1'11",EA,11.36,3.3678868,
190775,V0775,Cen,13h58m28.3s,-51o44'53",EA,9.74,0.6636425,F0IV
190777,V0777,Cen,11h11m43.8s,-51o24'30",EA,10.9,1.775995,
190786,V0786,Cen,11h36m11.3s,-63o17'0",EA,9.75,5.9864070,B2/3III/V
190788,V0788,Cen,12h8m53.8s,-44o19'33",EA,5.74,4.9664,A2mA5-F2
190805,V0805,Cen,13h38m50.4s,-54o7'0",EA,10.02,3.3167193,A0IV
190814,V0814,Cen,13h27m44.1s,-47o26'9",EA,14.10,1.16812901,A0V
190831,V0831,Cen,13h12m17.6s,-59o55'14",ELL,4.49,0.64254,B8V+B9V
190834,V0834,Cen,14h9m7.4s,-45o17'16",E+XM,14.2,0.07049756,M6.5e
190839,V0839,Cen,12h58m49.7s,-36o58'33",EW,9.4,0.3309357,G5V
190841,V0841,Cen,14h34m16.0s,-60o24'29",RS,8.41,5.97,K2IV/Ve
190871,V0871,Cen,11h38m20.4s,-63o22'21",EA,6.45,2.090704,O7IIInf
190883,V0883,Cen,14h8m56.3s,-59o16'36",EA+A,6.33,35.44735,B+BpSrTi
190901,V0901,Cen,11h14m3.3s,-51o32'55",EW,11.76,0.354233,Fp
190916,V0916,Cen,11h42m25.4s,-62o28'37",EA+B,8.66,1.4632361,B1.5V
190949,V0949,Cen,13h7m12.8s,-54o19'59",EA,9.06,3.78680,G1/G2V
190963,V0963,Cen,13h18m44.4s,-58o16'1",EA,8.61,15.26928,G2V
190975,V0975,Cen,13h38m54.1s,-55o1'28",EA,7.37,135.9255,A2mA5-A7+F5
191000,V1000,Cen,14h19m9.4s,-56o55'18",EA,8.40,16.6336,B8IV
191051,V1051,Cen,11h37m48.4s,-63o19'23",EA,7.13,9.64645,O6.5Vf+O8.5V
191053,V1053,Cen,12h28m58.3s,-34o15'2",EW,11.80,0.323464,
191054,V1054,Cen,12h32m49.0s,-35o41'41",EW,11.15,0.3483077,
191057,V1057,Cen,13h12m38.2s,-63o22'31",EW,12.6,0.451679,
191061,V1061,Cen,14h14m56.8s,-61o14'18",EA,9.58,2.20957,B2V
191071,V1071,Cen,11h12m7.6s,-37o34'37",EA,9.68,2.695338,A5
191078,V1078,Cen,11h16m41.6s,-42o38'9",EA,12.0,1.810313,
191082,V1082,Cen,11h22m5.5s,-47o17'32",EA,12.35,2.632048,
191087,V1087,Cen,11h28m52.0s,-62o55'51",EA,9.34,5.04913,O9V
191089,V1089,Cen,11h31m48.7s,-60o41'36",EA,7.88,5.48793,B9.5V
191099,V1099,Cen,11h47m20.2s,-61o54'57",EB,11.0,1.2509744,B5
191101,V1101,Cen,11h49m14.5s,-46o13'23",EA,8.10,5.0321624,F5V
191104,V1104,Cen,11h51m42.7s,-62o53'11",EB,9.91,0.876112,B5
191109,V1109,Cen,12h0m46.1s,-40o21'16",EA,9.57,3.3370,A7/8V
191116,V1116,Cen,12h11m3.3s,-50o40'22",EA,11.73,1.95074,
191118,V1118,Cen,12h16m43.0s,-45o52'2",EA,9.55,11.30489,G3V
191119,V1119,Cen,12h16m56.8s,-45o12'6",EA,9.48,5.90859,A8/9IV
191121,V1121,Cen,12h23m38.7s,-34o24'13",EA,10.80,0.9963787,
191129,V1129,Cen,12h39m7.9s,-45o33'44",EB+U,9.1,0.8930250,F0IV+pece
191133,V1133,Cen,12h43m15.0s,-33o41'1",EA,9.56,1.2703278,G8IVCNIII
191139,V1139,Cen,12h52m23.8s,-31o3'26",EW,13.71,0.3235544,
191140,V1140,Cen,12h53m16.4s,-37o21'1",EW,13.60,0.4346062,
191142,V1142,Cen,12h58m14.9s,-62o58'7",EA,11.71,2.524821,A
191144,V1144,Cen,12h59m14.9s,-31o56'42",EA,11.95,1.0694135,
191149,V1149,Cen,13h1m54.9s,-50o40'45",EA,11.28,3.511698,
191153,V1153,Cen,13h4m36.0s,-61o40'17",EA,9.71,5.97872,B0V
191156,V1156,Cen,13h6m26.5s,-38o23'16",EA,10.30,1.04222,A1/2V
191160,V1160,Cen,13h11m6.7s,-54o9'59",EA,8.63,10.35420,B7V
191166,V1166,Cen,13h15m51.3s,-63o53'3",EA,8.77,13.4197,B1/2V
191169,V1169,Cen,13h18m30.8s,-62o39'45",EA,10.44,11.03900,B3-B5
191175,V1175,Cen,13h22m28.7s,-45o53'29",EA,11.80,0.740645,
191176,V1176,Cen,13h23m1.8s,-62o26'32",EA,10.10,31.03072,B1Ia
191177,V1177,Cen,13h24m18.2s,-37o17'1",EA,9.08,5.7945,G5V
191178,V1178,Cen,13h24m53.5s,-39o44'3",EA,11.70,2.13185,
191194,V1194,Cen,13h38m34.6s,-49o42'59",EB,9.71,0.793856,A6IV
191196,V1196,Cen,13h40m2.1s,-44o4'54",M,12.7,318.,
191198,V1198,Cen,13h40m51.6s,-62o52'47",EA,8.68,6.50404,B6II/III
191200,V1200,Cen,13h52m17.5s,-38o37'16",EA,8.40,2.482874,F5V
191202,V1202,Cen,13h59m20.1s,-62o27'37",EA,8.42,15.5543,B9V
191203,V1203,Cen,14h11m48.0s,-62o1'34",EB,7.68,2.67096,B4/5III/IV
191204,V1204,Cen,14h13m48.4s,-64o0'29",EA,10.88,2.32713,
191206,V1206,Cen,14h19m29.1s,-34o23'50",EA,11.77,2.582712,
191207,V1207,Cen,14h21m3.2s,-32o53'13",EA,10.7,8.5366,G6V
191209,V1209,Cen,14h36m3.1s,-58o28'24",EA,11.53,2.090966,
191211,V1211,Cen,14h39m29.4s,-42o27'7",EB,11.25,1.14153,
191216,V1216,Cen,11h14m35.5s,-55o30'8",EA,11.33,7.607828,
191218,V1218,Cen,11h22m17.5s,-62o38'30",EA,13.3,0.767307,
191229,V1229,Cen,11h33m33.9s,-63o53'45",EB,9.23,0.991121,B1.5Vn
191237,V1237,Cen,11h46m33.6s,-62o17'56",EW,11.1,0.486009,
191254,V1254,Cen,12h44m52.7s,-42o44'14",EW,11.25,0.370790,
191260,V1260,Cen,13h2m36.1s,-59o56'0",EA,9.48,3.56278,A0IV
191262,V1262,Cen,13h7m40.7s,-37o29'34",EW,11.8,0.3704696,
191263,V1263,Cen,13h8m7.3s,-32o54'13",EB,12.05,0.410756,
191266,V1266,Cen,13h12m34.3s,-60o33'38",EB,8.05,10.157,A1III
191269,V1269,Cen,13h28m11.3s,-33o23'46",EW,12.40,0.3899424,
191284,V1284,Cen,13h33m56.9s,-31o53'20",EW,12.34,0.323526,
191286,V1286,Cen,13h35m1.7s,-42o19'42",EB,11.32,0.613378,
191296,V1296,Cen,13h56m42.9s,-42o24'17",EW,10.71,0.506878,
191351,V1351,Cen,14h28m33.6s,-32o8'25",EW,10.6,0.3991154,
191356,V1356,Cen,14h37m36.9s,-61o8'47",EA,11.97,3.17071,
191362,V1362,Cen,14h40m47.4s,-37o25'17",EW,9.25,0.353410,G2V
199999,psi,Cen,14h20m33.4s,-37o53'7",E,4.28,38.800,A0V
200004,U,Cep,1h2m18.4s,81o52'32",EA,6.75,2.493091,B7Ve+G8III-IV
